condition,cell_type,bin_index,teacher_right_minus_left,student_right_minus_left
baseline_gray,Am,0,0.0,0.0
baseline_gray,Am,1,0.0,0.0
baseline_gray,Am,2,0.0,0.0
baseline_gray,Am,3,0.0,0.0
baseline_gray,C2,0,0.0,0.0
baseline_gray,C2,1,0.0,0.0
baseline_gray,C2,2,0.0,0.0
baseline_gray,C2,3,0.0,0.0
baseline_gray,C3,0,0.0,0.0
baseline_gray,C3,1,0.0,0.0
baseline_gray,C3,2,0.0,0.0
baseline_gray,C3,3,0.0,0.0
baseline_gray,L1,0,0.0,0.0
baseline_gray,L1,1,0.0,0.0
baseline_gray,L1,2,0.0,0.0
baseline_gray,L1,3,0.0,0.0
baseline_gray,L2,0,0.0,0.0
baseline_gray,L2,1,0.0,0.0
baseline_gray,L2,2,0.0,0.0
baseline_gray,L2,3,0.0,0.0
baseline_gray,L3,0,0.0,0.0
baseline_gray,L3,1,0.0,0.0
baseline_gray,L3,2,0.0,0.0
baseline_gray,L3,3,0.0,0.0
baseline_gray,L4,0,0.0,0.0
baseline_gray,L4,1,0.0,0.0
baseline_gray,L4,2,0.0,0.0
baseline_gray,L4,3,0.0,0.0
baseline_gray,L5,0,0.0,0.0
baseline_gray,L5,1,0.0,0.0
baseline_gray,L5,2,0.0,0.0
baseline_gray,L5,3,0.0,0.0
baseline_gray,Lawf1,0,0.0,0.0
baseline_gray,Lawf1,1,0.0,0.0
baseline_gray,Lawf1,2,0.0,0.0
baseline_gray,Lawf1,3,0.0,0.0
baseline_gray,Lawf2,0,0.0,0.0
baseline_gray,Lawf2,1,0.0,0.0
baseline_gray,Lawf2,2,0.0,0.0
baseline_gray,Lawf2,3,0.0,0.0
baseline_gray,Mi1,0,0.0,0.0
baseline_gray,Mi1,1,0.0,0.0
baseline_gray,Mi1,2,0.0,0.0
baseline_gray,Mi1,3,0.0,0.0
baseline_gray,Mi10,0,0.0,0.0
baseline_gray,Mi10,1,0.0,0.0
baseline_gray,Mi10,2,0.0,0.0
baseline_gray,Mi10,3,0.0,0.0
baseline_gray,Mi13,0,0.0,0.0
baseline_gray,Mi13,1,0.0,0.0
baseline_gray,Mi13,2,0.0,0.0
baseline_gray,Mi13,3,0.0,0.0
baseline_gray,Mi14,0,0.0,0.0
baseline_gray,Mi14,1,0.0,0.0
baseline_gray,Mi14,2,0.0,0.0
baseline_gray,Mi14,3,0.0,0.0
baseline_gray,Mi15,0,0.0,0.0
